epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	18.2187	20.0263	13.7500	2.5000	0.0000
2	21.3759	20.5042	17.9641	9.5808	1.1976
3	18.0098	22.9075	20.2381	8.3333	1.1905
4	22.6413	27.4109	25.8427	14.6067	6.7416
5	27.8993	26.6217	29.0323	17.2043	3.2258
6	48.2187	49.6855	56.1404	47.3684	30.7018
7	54.8649	63.0275	64.6809	56.1702	35.7447
8	56.5356	63.7212	66.1290	62.9032	43.5484
9	65.1474	72.6097	75.9184	74.2857	51.4286
10	68.0958	72.6859	78.6325	72.6496	60.6838
11	63.1818	64.2416	72.2467	66.0793	51.9824
12	64.5577	69.1193	76.3948	73.8197	52.3605
13	68.6855	70.4465	78.4483	72.4138	54.3103
14	65.0000	64.5513	73.0594	70.3196	53.8813
15	69.2383	68.4480	77.1930	72.8070	56.1404
16	70.6757	71.8633	79.4872	76.9231	58.1197
17	71.3759	68.2503	76.4444	74.6667	59.5556
18	69.7420	64.9918	75.8929	71.4286	56.2500
19	70.4791	70.7868	80.8696	78.2609	60.8696
20	72.6536	71.6961	82.2511	77.9221	67.5325
21	69.8034	67.7280	78.9474	76.3158	65.7895
22	71.5602	70.6944	81.1966	80.3419	65.8120
23	71.4742	72.7201	81.3559	80.5085	67.7966
24	68.5872	75.8289	82.4490	80.8163	62.0408
25	70.9705	72.8017	81.1966	81.1966	65.8120
26	71.8919	70.4631	81.7391	80.0000	66.9565
27	72.5061	74.8819	83.0508	82.2034	69.4915
28	75.2948	73.0942	81.8565	81.0127	67.5105
29	73.8698	74.6285	82.8452	80.3347	72.8033
30	71.9533	74.8625	83.5443	81.0127	70.8861
31	72.7641	75.4837	83.4711	83.4711	72.7273
32	73.8206	73.2730	83.4043	82.5532	71.4894
33	72.9238	76.9006	84.8739	81.5126	73.1092
34	71.7076	73.8393	83.8983	82.2034	73.7288
35	73.3661	77.8838	84.8980	84.0816	73.4694
36	71.3514	68.8185	80.3493	76.8559	65.5022
37	71.0197	74.0570	83.0508	81.3559	70.3390
38	74.1523	74.1808	83.5443	82.7004	69.1983
39	73.0098	69.5003	80.7018	76.3158	69.2982
40	71.3145	70.9820	81.5451	80.6867	72.1030
41	72.9607	74.4873	83.6820	82.0084	71.9665
42	69.0295	68.5460	80.0000	78.2609	69.5652
43	73.1941	77.7222	84.7737	83.9506	71.6049
44	73.3784	76.2392	82.4490	82.4490	71.8367
45	68.8084	67.1719	76.3948	74.6781	66.0944
46	73.4767	76.2203	84.5188	83.6820	73.6402
47	71.3391	71.5171	81.3559	78.8136	68.6441
48	74.5209	76.7205	85.1240	82.6446	74.3802
49	75.3071	78.7426	84.3373	83.5341	73.8956
50	74.7420	76.4516	84.4262	83.6066	75.4098
