epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	21.9395	15.3570	23.0088	17.6991	14.1593
2	24.4793	20.4760	31.3559	22.0339	16.9492
3	30.0642	26.1283	31.3099	23.0032	17.8914
4	46.0817	42.6382	49.2212	43.6137	29.2835
5	49.3571	38.8156	46.1538	39.4231	27.8846
6	52.4747	35.9908	42.8298	38.2409	27.9159
7	60.3294	35.9498	47.4510	43.9216	32.5490
8	65.9040	58.1962	62.5592	58.7678	47.8673
9	62.4441	41.9391	47.4308	43.8735	37.1542
10	69.0742	53.5740	62.5000	57.3276	46.5517
11	69.0647	46.2982	49.5050	46.3366	38.4158
12	72.7386	49.1820	55.8767	51.6378	43.9306
13	74.3513	52.4685	55.8416	53.4653	41.9802
14	75.9053	52.8406	59.4488	57.0866	50.0000
15	70.1988	49.4654	58.1532	53.4381	44.4008
16	75.1636	55.3572	66.3616	62.7002	53.5469
17	77.5499	59.4649	69.6682	67.7725	55.4502
18	78.0268	60.3548	68.2927	65.6319	55.4324
19	73.8399	48.8550	59.9598	57.1429	45.4728
20	71.7433	43.6086	51.1149	48.7136	39.4511
21	75.6483	49.2172	56.8138	53.7428	44.9136
22	77.9302	62.6419	70.1835	65.1376	55.0459
23	71.6588	50.2223	55.8935	52.4715	44.4867
24	76.2684	62.5859	70.5882	66.9683	57.0136
25	80.7192	67.5680	73.6842	72.2488	61.2440
26	79.7706	63.5077	70.0893	67.8571	57.1429
27	81.6696	76.4779	81.6327	77.5510	67.8571
28	73.0637	55.2316	62.1739	59.1304	46.0870
29	79.8862	71.6731	76.1446	73.7349	63.1325
30	81.0435	69.6693	73.6842	70.4805	60.4119
31	80.6615	72.5446	79.5122	76.0976	65.3659
32	80.5149	62.8714	72.5225	69.8198	59.4595
33	81.5497	73.3314	79.5062	77.0370	69.1358
34	80.8132	62.8799	69.9115	67.2566	59.7345
35	80.8581	73.0351	77.9661	76.0291	65.8596
36	81.2531	69.5112	76.4846	72.6841	63.1829
37	81.3014	69.1348	76.6667	75.2381	65.7143
38	81.8964	71.9731	76.7059	75.7647	65.8824
39	82.4898	74.2296	80.5970	78.6070	68.6567
40	81.4316	71.7463	77.2512	75.3555	67.7725
41	81.4963	68.6949	76.8868	75.4717	66.0377
42	82.3406	76.7707	81.3896	78.9082	70.9677
43	80.9668	65.3035	69.5464	68.2505	59.1793
44	82.5751	70.8385	76.9953	76.5258	68.0751
45	82.5769	68.4314	73.4513	71.6814	62.8319
46	83.1814	76.5045	81.6832	80.1980	71.7822
47	83.0210	73.0044	79.6117	78.1553	68.4466
48	83.0572	73.5184	80.4878	79.5122	70.2439
49	83.5393	77.2286	82.5871	81.0945	72.6368
50	83.7696	75.4897	80.9756	80.0000	73.1707
