epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	20.8436	43.3197	40.6996	33.3148	20.1555
2	33.0868	48.0127	48.9292	40.1428	25.3707
3	42.5498	48.6472	46.6098	39.0232	26.2210
4	50.5718	52.9081	52.1119	45.0370	31.8374
5	54.8164	53.5168	47.4995	41.8272	31.0890
6	57.3208	49.1401	48.6262	41.7917	31.3092
7	52.1119	57.7789	50.8985	44.7439	34.2767
8	61.2148	60.0255	56.6691	50.9775	39.1487
9	61.4487	60.2087	56.7502	51.8322	40.5014
10	60.4544	61.3339	54.5413	49.4751	38.1561
11	61.0397	60.7554	55.1150	49.9890	39.3428
12	66.4751	61.9502	58.2219	52.6390	41.2386
13	56.6352	60.7053	54.3070	48.2026	37.7120
14	60.6519	62.3997	57.9097	52.3040	41.9002
15	68.1144	65.4854	63.4897	57.7811	44.9243
16	68.0222	63.7903	61.9000	56.1603	44.1366
17	65.0162	61.7907	60.4926	54.3869	41.5598
18	69.6392	67.5023	64.2090	59.7656	48.2910
19	66.5226	64.5314	62.1155	56.7642	42.5606
20	67.8447	66.5745	62.9656	56.8613	45.7582
21	62.0400	62.9992	56.9273	51.3946	40.9694
22	64.1674	64.2839	57.5425	53.2386	42.3929
23	60.5290	57.9528	55.4418	49.1546	39.0569
24	68.3536	67.6491	64.9497	59.7498	48.0255
25	64.6036	60.6712	57.3016	51.5226	40.9424
26	63.3756	60.2504	56.8749	51.7044	39.8536
27	68.2562	66.2696	61.5670	56.4673	44.6453
28	62.6530	64.1706	58.4655	53.3219	41.6631
29	64.7791	60.6711	54.6517	48.9399	37.9057
30	67.8855	63.2523	59.5668	55.2798	45.0361
31	68.9485	64.3867	61.0907	56.7828	46.1503
32	57.4649	58.4277	53.0070	48.2380	37.1808
33	63.4581	62.9807	57.5583	52.1274	41.9927
34	67.6225	63.8639	58.4839	53.4156	42.8823
35	65.6172	65.2614	59.9053	55.1724	45.2107
36	64.6050	64.0185	58.2752	54.0869	43.2335
37	68.3152	63.8115	58.2386	53.6009	44.1918
38	64.1893	60.7039	53.9852	49.4248	40.1808
39	62.5622	62.4953	57.8143	52.6580	42.1173
40	67.0824	61.4607	55.8002	50.5927	40.8129
41	67.9381	61.2142	57.0571	52.3381	42.2136
42	54.8207	51.4052	48.2715	43.2546	33.0523
43	66.4000	62.4607	56.1130	52.1079	41.2310
44	66.4609	62.8721	56.6603	52.1005	42.0942
45	68.4911	60.4464	52.3610	48.3363	38.7328
46	65.7613	61.3642	54.4750	50.3160	40.9378
47	64.8608	61.0159	50.3605	46.0342	37.3814
48	66.5325	62.9622	52.0240	48.1363	38.9579
49	66.9401	60.2971	51.0671	47.5229	38.3384
50	65.0110	59.1433	42.0000	38.8571	31.1746
