epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	17.6441	42.2859	37.5635	27.6093	14.8322
2	33.1205	43.4177	37.7586	27.0061	14.3214
3	36.3646	47.2096	43.7278	33.6738	19.8783
4	28.7218	47.3107	43.6547	35.1299	23.8566
5	46.8350	48.5497	46.0089	38.8606	26.0154
6	51.1534	54.6897	48.3756	41.2466	28.8420
7	53.8951	54.5734	48.5545	41.8378	29.1833
8	59.7032	55.0112	53.4999	46.6728	34.3188
9	56.1375	56.9755	51.5889	43.6101	29.5297
10	57.6527	58.2995	54.2885	46.9368	33.9921
11	60.6379	58.0238	54.7015	47.3488	34.4612
12	59.0424	58.7655	53.6142	46.7913	34.0552
13	59.6731	57.2865	53.0643	45.8985	32.9059
14	61.3748	58.3357	52.1551	45.3939	33.2238
15	60.9366	57.5169	54.6456	47.5584	34.8660
16	64.3521	62.8918	59.6933	53.4109	40.2750
17	65.9874	61.7161	59.9018	53.1631	40.3536
18	61.6614	61.2626	56.9336	50.0391	37.6367
19	47.4943	52.3719	45.8209	39.7422	28.1427
20	59.7850	59.6263	55.9024	47.9105	35.2415
21	59.1785	60.8430	56.7213	50.2989	38.3028
22	63.3623	60.2070	58.3308	51.3154	38.9766
23	57.7397	54.0098	50.0403	42.7510	30.5006
24	64.9103	63.2415	60.0692	54.1967	42.0761
25	58.9500	62.3988	59.6059	52.7094	40.1585
26	58.9097	61.0296	56.2844	50.0284	37.7820
27	64.6538	59.4594	58.0492	51.5527	39.1122
28	50.9895	55.5976	51.3872	44.7898	33.1967
29	60.9631	58.9194	55.1918	48.5471	36.4006
30	65.4977	62.7177	60.0407	54.1463	41.3618
31	64.2579	61.1236	59.3785	53.8670	41.2149
32	66.1017	62.2823	60.4133	53.6264	42.0178
33	61.8282	61.5901	58.7231	52.3682	39.3010
34	64.5309	62.4708	61.0075	54.6212	41.8881
35	65.7718	63.2847	61.6830	55.8642	42.5498
36	61.7900	59.3600	57.0582	51.7043	39.5517
37	65.1407	62.3716	61.3527	55.3341	42.7939
38	62.8847	55.4756	54.6444	48.4143	36.4796
39	65.4191	63.7327	60.7086	55.1241	42.8743
40	62.6777	61.9206	59.0151	52.5234	40.1506
41	64.6008	62.2185	60.0643	54.0579	42.0048
42	66.0459	59.7258	57.6945	51.8187	39.7314
43	65.9775	59.6405	58.6823	53.1241	40.7600
44	65.5905	60.8097	58.1750	52.2040	40.2433
45	62.6997	57.2233	52.3619	46.2487	35.6026
46	65.4810	63.1509	61.7551	55.3531	43.1006
47	65.1954	61.3395	58.5003	52.6738	40.8447
48	43.9054	50.8648	43.2713	37.7203	27.4090
49	64.6928	60.3165	57.5261	51.7965	40.6630
50	63.6365	57.5774	53.6097	47.7924	36.6455
