epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	19.7289	38.7642	40.1377	35.0549	21.2494
2	33.8495	40.2984	38.8748	31.7283	19.0826
3	34.1193	49.5230	46.8588	41.5562	28.8761
4	42.1423	46.1632	44.4592	37.4421	24.9967
5	48.9570	52.6718	48.2154	42.3219	30.2553
6	54.4669	55.3767	52.1450	45.4604	32.4241
7	51.3920	52.4183	48.4224	42.6650	31.0748
8	55.6782	60.9588	55.6965	49.3656	37.6386
9	60.7461	59.9602	54.8841	49.3855	37.6283
10	61.0221	61.3932	56.7425	51.4719	37.9997
11	53.3942	61.2658	53.8502	49.2034	36.8826
12	60.6310	62.0338	54.8021	48.6262	36.8036
13	60.2935	59.8521	53.1041	48.0465	36.0855
14	65.5879	66.2447	62.5811	56.7564	43.7819
15	64.7411	65.2958	60.3435	54.8530	42.1025
16	63.0425	66.7569	60.1364	54.5502	43.0894
17	63.5153	65.1057	62.9065	57.3103	43.5101
18	62.0478	66.3577	59.9372	54.5431	43.3621
19	63.2068	66.6000	60.0131	54.5836	43.2000
20	64.1923	65.5632	57.7178	52.5890	41.6196
21	63.6539	64.7903	58.7747	53.6085	42.8868
22	52.2448	58.1400	50.8910	44.8899	31.9969
23	62.3229	66.2321	60.2888	55.5391	42.8012
24	56.3816	61.5422	53.7277	48.8971	37.2150
25	62.2153	66.4628	63.2351	57.8110	45.7451
26	66.3508	65.6580	62.1116	57.0525	44.7072
27	63.0531	61.3933	56.2849	51.0982	39.9057
28	62.5861	64.7918	58.5787	53.7364	42.0364
29	63.1877	62.9956	55.0846	50.4518	38.9716
30	65.9550	66.3889	62.8455	57.8353	45.7454
31	64.0132	65.1469	61.2656	56.2408	44.7669
32	68.1781	66.5099	60.9793	56.0061	45.0395
33	65.8252	65.4392	59.9769	55.0944	44.4302
34	63.3912	63.1979	59.1380	54.2780	42.8699
35	66.3854	64.8971	58.1108	53.0227	42.0403
36	65.7420	62.2159	54.2762	49.9044	39.9427
37	65.9386	64.6092	56.6841	51.6804	40.7020
38	65.4740	64.1007	54.8860	50.1561	40.5282
39	68.5477	65.9823	60.3068	55.3436	43.6713
40	65.6257	66.1176	62.6316	57.8158	45.9737
41	58.8974	59.7177	50.7029	45.9614	36.1210
42	63.3887	65.4131	56.0354	51.4581	40.6054
43	66.9526	61.7192	52.3522	47.3175	37.0657
44	65.1536	62.4983	57.2091	51.7641	41.0206
45	64.4579	59.7694	52.3373	48.0482	37.3012
46	65.6828	60.6720	48.8937	45.2061	35.7267
47	66.8723	59.5818	51.7411	47.8383	38.2099
48	64.8174	58.8935	48.5208	44.5552	34.8637
49	66.6533	62.2408	49.1357	45.1126	35.9141
50	29.2990	36.3433	25.0726	21.4011	15.0624
