epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	22.8124	42.3378	42.1663	35.2103	21.6628
2	35.5686	47.2580	48.3010	39.4165	23.9019
3	40.9167	52.5710	49.5387	41.5527	26.8533
4	50.1376	55.4278	50.7423	43.9430	29.5724
5	51.5606	56.2045	51.9177	45.3132	31.1861
6	53.4103	63.1741	59.0567	52.2109	36.4887
7	61.7281	63.8445	61.6257	55.1355	40.5797
8	61.5259	65.6880	63.3798	56.4710	41.8099
9	58.6614	64.9279	62.1841	55.0628	39.5168
10	57.4569	67.1490	64.9934	59.0879	45.2428
11	59.3919	59.8798	59.8131	53.3819	38.5237
12	55.5595	58.7270	56.7127	50.3840	35.2995
13	50.4764	58.8909	53.0700	44.0668	29.2145
14	49.3804	53.5440	50.3656	43.0530	29.6770
15	51.4782	56.7044	52.8343	45.7563	30.8174
16	44.5044	52.3121	49.8126	42.2861	28.1699
17	48.4322	57.1728	53.7885	46.5330	32.3282
18	42.6089	50.3806	48.6738	41.5106	26.6747
19	38.1787	49.1026	43.2591	37.0713	23.1275
20	48.1144	58.7238	51.5354	45.6906	31.6274
21	48.3227	59.9469	54.1392	47.3305	31.8236
22	34.5721	49.5241	45.0367	38.0895	23.3867
23	42.6259	52.0704	48.2940	40.9449	27.2040
24	47.8215	53.4067	50.9363	44.3902	30.1254
25	55.4594	63.4956	60.6752	53.7999	36.9971
26	49.5758	53.5285	48.6378	41.5830	28.6206
27	54.8971	57.6058	54.5287	47.5165	32.2928
28	21.4248	38.5213	28.6166	21.9791	14.0530
29	50.4524	57.4557	52.5968	45.7350	33.3019
30	60.2166	63.9481	60.6371	55.3535	40.9946
31	54.3977	63.5728	59.9969	53.6374	38.6536
32	60.9961	64.7305	61.9327	55.8197	41.4017
33	59.5534	65.1962	63.8574	56.8233	41.1669
34	57.6342	65.2517	62.1617	55.6995	40.8726
35	59.9057	67.4470	63.3883	57.2018	43.7183
36	63.7821	68.4472	66.4478	60.2429	45.5351
37	59.1681	66.6902	63.8334	57.4836	42.7684
38	61.7297	68.2060	66.2401	60.0438	44.5530
39	61.3627	66.8915	65.3766	59.9258	45.5410
40	65.3268	68.2831	66.9658	62.2798	47.2250
41	66.3707	69.7609	68.3388	62.4430	47.9805
42	60.1935	66.9124	65.2101	59.0252	45.2101
43	66.1443	69.8438	69.2595	63.7908	48.7772
44	58.4592	56.5403	55.8734	49.6297	36.6197
45	56.8058	56.6138	51.7336	44.3348	30.5817
46	65.4242	68.0252	65.3278	59.3188	45.5656
47	66.5586	69.0568	68.0487	62.6193	48.8648
48	44.4220	51.8602	49.4193	41.1675	26.3142
49	63.2292	67.4327	64.8148	58.5120	45.0942
50	63.0151	67.8410	65.1745	59.1178	45.7538
