epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	20.1438	40.0226	41.4436	35.9200	22.9075
2	27.5336	44.9556	42.7124	34.9031	20.7452
3	44.4530	48.3208	47.8376	41.5241	27.8960
4	30.0722	50.4375	50.9606	44.0247	31.6184
5	51.3645	57.6474	54.4576	48.3092	33.3773
6	46.8799	59.3968	54.2007	48.4539	35.2975
7	57.3565	60.9859	58.7121	52.5058	37.1795
8	57.3359	62.4213	59.6325	53.6455	40.7825
9	58.7387	61.5016	58.7582	51.7397	38.0924
10	55.7985	61.0295	57.8682	50.9204	36.6983
11	45.6204	43.0202	41.9564	34.7918	21.1765
12	54.5764	55.5912	55.4575	47.8712	32.0483
13	45.1298	47.9635	48.0799	39.6859	24.7537
14	28.1739	46.8848	42.0423	35.7016	23.4530
15	28.8363	43.5399	37.3182	30.4617	17.8368
16	36.4555	45.0038	39.6504	33.1551	20.3991
17	50.1771	54.2974	50.0666	43.2987	29.5763
18	22.2003	31.7907	28.3838	22.4959	12.9721
19	43.9816	50.0099	45.2588	38.8364	26.4198
20	39.7720	45.2221	41.0024	34.9074	20.1486
21	51.0395	51.0082	50.2140	42.7749	27.0996
22	49.7880	55.4533	53.5904	46.7693	31.4290
23	57.1394	58.9612	57.1105	50.3817	36.1323
24	39.6411	46.6206	43.5948	36.6575	21.8631
25	57.7307	61.5869	59.1824	52.6846	35.9976
26	55.7304	58.7780	57.7461	50.7594	35.1458
27	55.0915	58.4904	57.5696	50.3190	35.7865
28	58.2985	62.0905	61.0659	54.6823	38.6028
29	57.3304	63.1127	61.3329	54.6990	40.3256
30	55.6394	58.1807	57.4801	50.9503	36.9405
31	55.1334	61.4761	57.4356	51.3448	37.4555
32	62.2573	65.7132	64.6644	58.5044	43.1198
33	60.4285	62.1344	61.5176	54.7727	39.0545
34	55.9020	58.9401	57.0376	50.0384	33.7068
35	52.4095	55.2955	53.3234	46.6019	33.6968
36	53.0703	54.4369	52.9499	46.3717	31.9174
37	58.1278	59.8096	58.9744	51.4056	35.8974
38	47.7592	58.9692	57.0240	49.7843	36.9378
39	56.9273	60.4506	59.4000	52.2237	38.8964
40	58.0137	61.9208	60.6706	53.6196	38.3265
41	59.6108	63.0269	63.5361	57.5796	42.0107
42	63.0032	67.2993	66.5088	59.7821	44.8445
43	62.2425	65.0037	63.6750	58.0381	43.2373
44	61.2255	66.3870	66.1533	60.0262	44.2661
45	59.5932	62.4997	60.9080	54.6580	39.5932
46	65.5016	69.5893	68.0613	62.0249	46.9499
47	63.1873	65.0707	65.3871	59.1737	41.8347
48	64.5332	66.3873	65.0053	58.4106	44.7652
49	67.9025	70.9308	70.4349	64.7988	50.2036
50	61.1813	64.8641	64.2789	57.9433	43.5530
