epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	21.7249	0.0000	0.0000	0.0000	0.0000
2	31.1114	9.1873	14.2857	7.1429	1.4286
3	36.0087	19.8067	23.8994	17.6101	7.5472
4	47.4221	43.5781	43.2692	39.4231	25.9615
5	57.5024	71.0643	71.8750	65.6250	50.0000
6	62.0324	73.1949	70.8029	64.9635	45.9854
7	67.4194	68.4451	71.1268	65.4930	50.7042
8	71.2012	74.8227	76.9231	74.7253	62.2711
9	73.8131	75.8541	79.0875	76.0456	60.8365
10	71.6773	68.8069	76.1194	74.6269	58.9552
11	72.7384	80.9639	82.0896	78.3582	66.4179
12	74.6429	78.5194	82.2134	80.6324	64.8221
13	77.1188	82.8882	85.1562	82.8125	72.6562
14	76.2073	85.0873	87.4016	81.8898	70.8661
15	77.9758	84.6842	85.9375	85.1562	73.4375
16	76.1937	83.3804	84.9421	82.6255	68.7259
17	78.0030	82.6964	87.7470	83.0040	71.9368
18	77.8125	83.7885	84.7059	82.3529	72.9412
19	78.6968	89.2143	90.2724	87.9377	77.0428
20	79.5402	86.2841	85.7143	84.1699	77.2201
21	78.8328	87.8691	91.7647	86.2745	74.5098
22	76.9283	83.8093	85.1562	82.8125	73.4375
23	78.5063	86.4095	86.9231	85.3846	76.1538
24	77.7445	85.0738	87.5472	85.2830	75.4717
25	79.9075	88.3665	89.9225	88.3721	82.1705
26	80.2340	88.3680	89.4118	88.6275	78.4314
27	78.4655	84.5052	85.9375	84.3750	76.5625
28	79.7851	88.6516	89.5753	88.0309	79.5367
29	80.2884	87.3069	89.6552	88.1226	80.4598
30	80.3156	88.6365	89.9225	88.3721	77.5194
31	79.8123	86.2073	86.7925	85.2830	76.9811
32	80.2340	87.8096	89.2308	86.9231	80.0000
33	80.7645	88.6516	90.3475	88.0309	81.8533
34	80.1252	86.1296	87.9699	85.7143	78.9474
35	79.7034	87.8619	89.4737	87.2180	80.4511
36	79.4858	86.1372	86.0377	83.7736	74.7170
37	80.6693	87.4612	88.7160	87.1595	79.3774
38	78.9280	88.6811	89.6552	86.5900	75.8621
39	78.5199	86.4153	88.1226	85.0575	75.0958
40	80.1660	89.4229	88.0309	87.2587	79.5367
41	79.8667	88.4955	87.9377	87.1595	79.3774
42	79.2001	89.2417	89.1473	88.3721	79.8450
43	80.4652	86.8808	89.9225	87.5969	76.7442
44	79.7034	88.0140	87.6923	86.1538	80.0000
45	79.3634	88.4941	89.5753	87.2587	77.9923
46	79.8531	89.3087	88.9734	86.6920	78.3270
47	79.9483	88.6365	91.4062	89.0625	80.4688
48	80.0707	84.3878	88.4615	86.9231	76.1538
49	78.3295	85.7871	88.1890	85.0394	76.3780
50	80.2748	87.1493	89.5753	86.4865	76.4479
