epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	38.4339	6.9159	7.5113	4.9074	2.7041
2	49.8427	16.1630	20.1754	14.0351	8.7719
3	62.0192	25.7645	31.9350	25.9811	20.8390
4	53.9599	24.2097	28.6533	25.7880	20.3438
5	58.2403	27.1871	35.0000	30.8824	22.6471
6	71.0841	34.2315	41.5813	39.8243	31.6252
7	74.0416	37.9129	46.7938	42.9809	36.3951
8	75.7856	45.1395	52.8814	48.1356	39.6610
9	74.7609	41.4447	52.1151	48.7310	38.9171
10	72.6422	42.1999	48.4848	43.0976	36.7003
11	80.1471	47.7301	56.3177	53.0686	45.8484
12	80.7981	48.2953	57.4956	54.3210	46.9136
13	83.4429	49.0000	58.8869	54.9372	49.1921
14	81.3624	49.8057	58.9512	54.6112	47.0163
15	82.4628	53.9566	61.3281	57.4219	52.3438
16	83.3462	58.1414	65.9529	64.6681	58.2441
17	82.0334	58.3430	65.0407	61.3821	55.2846
18	81.5621	46.1719	55.7093	51.9031	47.0588
19	82.6762	58.2227	65.4472	60.9756	54.0650
20	82.2723	56.8144	63.3010	59.4175	53.9806
21	83.3016	53.5575	61.1321	57.3585	51.6981
22	82.2632	49.1545	58.7814	54.1219	46.9534
23	83.9999	57.0965	65.8537	61.7886	54.8780
24	83.2259	59.0934	67.0757	63.8037	56.8507
25	84.7338	59.7844	67.7618	64.4764	58.3162
26	83.6362	58.8969	65.4397	61.3497	56.0327
27	83.4520	57.9316	65.4545	61.4141	54.9495
28	83.2742	55.5554	63.7795	59.8425	53.1496
29	83.9963	53.6736	63.0975	59.6558	53.1549
30	84.0820	54.3209	62.6923	58.8462	54.2308
31	83.7000	55.2989	62.4521	58.6207	53.2567
32	84.1996	59.7410	64.9194	61.2903	56.0484
33	84.4448	57.7549	65.4618	63.4538	55.8233
34	83.2150	56.7056	64.2998	60.3550	54.4379
35	83.6763	56.3304	64.5418	62.1514	54.5817
36	83.9060	51.6040	61.7100	58.7361	52.7881
37	83.3189	51.4907	57.5488	53.9964	48.6679
38	84.0428	62.7452	68.7631	64.9895	59.1195
39	84.3163	59.6121	67.2032	64.3863	57.9477
40	84.1522	52.6717	60.4052	58.1952	52.6703
41	83.6006	53.5060	62.5720	60.2687	53.3589
42	84.3409	56.8828	65.7426	61.7822	54.6535
43	83.5705	55.5791	61.9772	59.6958	52.0913
44	83.6845	53.6744	61.9503	58.5086	53.9197
45	84.8031	54.2640	60.6171	57.7132	51.1797
46	84.0729	51.4127	59.5281	55.5354	51.1797
47	84.6992	52.8693	60.9665	57.9926	53.1599
48	83.8577	55.7301	62.4277	60.8863	54.3353
49	84.3938	52.8223	60.5607	57.5701	52.7103
50	83.3526	48.4223	58.7189	54.8043	48.7544
