epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	33.7269	8.5493	10.3115	6.8743	3.7594
2	38.4080	15.1647	16.9526	13.3199	9.6872
3	53.2163	22.0171	27.2277	22.2772	16.0891
4	51.7960	21.0920	25.2734	22.3572	13.3657
5	51.0957	26.8242	29.3030	25.8890	19.0612
6	61.2971	27.3652	35.2332	31.8653	22.5389
7	57.6594	33.3840	40.7166	36.8078	27.0358
8	64.7527	35.7009	42.4723	37.7179	29.4770
9	74.1952	44.3857	51.8519	47.8114	38.0471
10	72.7110	41.6050	49.0756	45.7143	37.9832
11	73.8502	42.2513	50.7414	46.7875	38.5502
12	74.0417	38.0864	47.3846	44.0000	37.5385
13	76.0200	47.1313	55.1237	49.8233	43.8163
14	77.1825	47.9497	56.1594	52.5362	43.8406
15	78.1053	39.5367	49.6933	46.6258	38.6503
16	78.0087	45.8058	56.5905	52.7241	43.9367
17	76.8703	46.2818	50.8197	47.8689	40.9836
18	79.7973	49.0858	56.5905	53.7786	45.3427
19	76.6703	42.9744	52.1151	48.7310	41.2860
20	78.6098	47.4188	57.5092	55.3114	45.7875
21	79.5809	50.3067	57.1936	55.0622	45.4707
22	77.5594	46.5149	54.8276	52.4138	43.1034
23	78.3761	47.4825	54.9828	52.2337	43.9863
24	80.7287	49.4044	57.2899	53.1732	46.3122
25	80.4347	47.5993	56.1644	54.1096	45.5479
26	80.3113	49.8798	58.4071	55.2212	48.4956
27	80.5873	53.7882	59.3692	57.1429	50.4638
28	80.1078	45.7998	54.3333	51.3333	42.0000
29	78.2329	50.2796	55.4386	52.6316	43.1579
30	80.1276	46.1317	55.8376	52.4535	44.3316
31	79.8379	45.5575	55.4795	53.0822	44.8630
32	80.1052	43.9840	54.1063	49.9195	42.1900
33	80.4864	46.8152	55.6667	51.6667	45.3333
34	80.9512	50.0217	60.1423	56.9395	49.1103
35	78.9505	43.0964	51.4914	47.4097	40.5024
36	78.2588	45.5821	53.2231	49.5868	41.9835
37	79.8517	49.0781	58.3630	56.2278	47.3310
38	80.8753	46.7069	56.3758	53.3557	44.9664
39	79.2963	46.6723	53.8588	50.5747	44.9918
40	80.4717	50.7474	58.1560	54.2553	46.0993
41	79.7922	46.7004	55.6667	52.0000	44.0000
42	80.1578	45.4456	54.8440	51.8883	44.0066
43	80.9366	51.2734	58.9928	55.7554	48.9209
44	80.4916	46.7830	54.9085	51.9135	44.2596
45	78.8366	42.5106	50.1529	47.7064	39.4495
46	79.6688	40.9847	50.8423	48.6983	40.7351
47	78.1217	39.8263	49.8498	46.5465	38.1381
48	39.3273	13.9898	16.6184	14.2995	8.5024
49	48.5343	16.8525	22.2222	19.4731	15.1203
50	56.6133	21.8396	26.4739	21.3571	16.2403
