epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	15.1946	41.0601	38.1632	30.0380	17.0560
2	22.2901	31.4573	30.1496	26.5337	17.7307
3	29.7111	44.7336	41.4441	34.6819	24.4585
4	35.2241	55.0559	51.2705	43.6815	32.0723
5	36.3216	52.6994	50.4339	43.6133	33.4922
6	39.3995	49.9322	49.6164	42.9364	31.3938
7	43.6001	56.5628	54.5929	48.3741	36.7909
8	48.4328	53.5580	55.6828	50.0708	38.1774
9	40.1031	51.4513	49.9154	44.6433	34.3894
10	53.1302	60.3484	60.3584	54.0010	42.2435
11	42.8834	55.9484	54.8353	47.5853	36.8166
12	49.4903	56.8316	57.9463	53.2508	42.4407
13	52.2890	57.9343	58.6924	52.0033	38.8340
14	53.8419	57.5832	59.0214	52.6935	39.8024
15	59.2020	63.6181	65.5576	60.5907	47.8843
16	52.8681	65.7227	65.5103	59.6028	48.0141
17	45.2514	47.3768	50.6848	46.0003	35.0186
18	56.2993	59.5936	61.6763	56.4756	45.2411
19	53.4571	60.3126	61.5894	55.7474	42.6679
20	59.1997	64.9114	66.3012	60.1968	47.8884
21	54.8278	55.7692	57.6263	52.5993	42.1040
22	55.5388	60.1463	62.7189	57.0714	44.9660
23	60.5946	65.8799	66.8023	60.7756	47.9339
24	55.3712	60.0508	61.4611	55.2335	42.4671
25	60.0625	65.3917	66.9335	61.5308	48.5993
26	61.8826	66.4354	67.9357	62.2497	49.8640
27	61.0136	64.2242	66.4803	60.4521	48.6631
28	56.5319	59.2119	62.3740	56.6232	44.3598
29	65.0653	65.8436	67.5991	62.2896	50.1425
30	64.7126	66.4657	68.4446	62.9124	51.0791
31	65.0697	66.9821	68.8665	62.9219	50.7053
32	61.8855	62.3864	64.9374	60.1884	49.3225
33	55.4660	66.4051	65.7726	59.4980	48.5482
34	62.3818	62.9635	65.2365	60.3120	48.7079
35	60.5640	65.0274	67.2444	61.4670	49.8618
36	63.8424	66.8238	69.1285	63.5574	50.8817
37	60.1149	62.6638	64.7176	58.7066	46.2636
38	65.3396	68.8209	71.2062	65.2829	52.8034
39	64.2537	66.0699	68.6932	62.9415	51.7154
40	65.3191	68.0768	70.2384	64.4166	52.4467
41	59.5911	60.0167	63.6885	57.8054	44.8187
42	64.1757	66.9059	68.9969	63.8769	52.2831
43	64.3622	69.0202	70.9798	65.3669	52.8747
44	57.0802	60.9335	62.4581	57.0755	45.9630
45	63.9324	68.8803	70.7174	64.8534	52.8010
46	66.1030	67.8550	70.8049	65.4218	53.7798
47	61.7387	61.9934	66.1355	59.4471	46.6015
48	66.8401	68.4602	71.1448	65.3588	53.4145
49	62.8290	65.4666	67.2256	61.5504	50.7159
50	61.3548	67.4062	69.5974	63.1514	51.2225
