epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	19.8329	32.7239	31.5540	25.2076	15.8363
2	25.0246	43.3686	41.6811	34.7726	24.8705
3	33.7037	46.3400	46.2322	40.2789	27.1386
4	40.7903	53.1914	53.2785	44.0604	30.6173
5	41.3265	57.8459	55.7895	46.4211	33.4737
6	44.2826	60.5012	59.3289	51.2215	39.6242
7	49.7103	62.8023	63.3843	58.0079	43.2937
8	53.9547	62.9815	61.4468	55.2154	41.8315
9	50.0497	64.6653	64.6896	57.5942	42.0732
10	60.7619	67.6173	68.2835	62.1396	48.1811
11	60.9605	67.2944	66.3564	60.0055	46.9751
12	54.3249	66.2771	66.3238	60.3682	46.8868
13	67.9112	72.2464	73.3059	68.3676	55.5281
14	57.8303	55.7213	60.6927	53.8208	41.2314
15	62.7165	70.3356	71.8897	66.6483	53.0207
16	64.2131	70.0605	71.2746	66.0184	52.8778
17	60.4645	64.1721	64.7640	59.7146	48.0241
18	64.4119	69.6888	69.2391	64.6519	52.2936
19	62.1956	70.3965	71.6125	66.4054	52.1837
20	58.7111	62.7668	64.6216	59.1743	45.3555
21	65.6289	72.2537	72.7770	67.4145	54.1176
22	64.8567	69.4255	69.5872	64.8694	51.8955
23	60.9835	67.0922	68.6518	63.7441	51.1166
24	66.2417	67.2007	69.4994	64.3772	50.1164
25	60.2724	65.5137	66.1448	60.9449	47.2463
26	59.3300	69.4716	69.7248	64.2202	51.3205
27	62.5796	70.0908	71.3973	65.1507	52.6575
28	68.0968	69.7185	72.3688	66.5700	54.1026
29	67.3570	72.6760	74.1015	68.0548	55.5619
30	64.3458	70.2954	70.7545	64.8206	54.1396
31	68.3793	72.1041	73.8220	68.5864	56.4282
32	60.7160	68.2103	69.4590	64.5724	52.0070
33	69.8986	72.1705	74.4213	69.3818	57.3103
34	64.6675	70.5798	73.1553	67.4131	55.9862
35	68.9681	72.0575	73.7266	68.5468	56.6331
36	68.1110	72.6205	75.0883	69.3757	57.3616
37	64.0789	71.5053	73.1461	67.0225	55.2809
38	60.2617	69.6308	69.8081	64.4470	54.0068
39	60.6268	67.7262	69.2918	61.7690	50.4261
40	50.9299	63.0704	63.9106	57.5978	44.3017
41	65.0284	71.3943	72.9439	66.2017	53.8216
42	65.3721	69.6691	70.5495	64.7253	52.5824
43	67.3754	71.3853	73.4774	67.2467	55.9641
44	63.1528	69.4587	70.8507	65.3183	53.3016
45	58.3829	68.5728	69.9419	64.1860	52.2093
46	68.6937	70.3545	73.0320	67.8240	55.9114
47	66.8342	67.2705	68.8487	64.4846	52.4835
48	65.6394	69.2881	71.7517	65.6613	54.4084
49	63.8140	69.2410	71.0935	65.4422	53.2919
50	59.4268	69.7614	70.5422	66.1822	54.1084
