epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	16.3882	26.2837	26.6787	20.8541	12.8565
2	18.5911	36.5450	33.5623	25.2576	15.2669
3	28.8960	47.7252	47.4223	38.0550	25.1748
4	37.6234	51.6240	53.0174	42.7804	30.0158
5	43.4751	54.8289	53.6832	44.9257	31.4575
6	50.3403	61.4361	59.4743	51.2531	38.6919
7	41.9220	60.2762	58.6126	51.6913	39.3765
8	48.3731	61.7437	61.3801	53.5628	41.0487
9	52.4219	65.3190	65.1163	58.9668	45.2630
10	42.8156	62.6687	60.3801	52.4561	39.0351
11	37.4635	57.3861	54.4469	47.9078	36.6593
12	56.2038	65.8685	65.5947	59.2262	46.4257
13	47.1836	63.5935	60.8258	54.5482	42.9682
14	57.0812	67.4908	67.2131	61.0971	47.2573
15	61.2156	68.8538	67.3110	61.7018	49.2790
16	55.0998	68.1047	65.8652	59.4639	47.1487
17	60.3684	70.4260	71.2240	65.2669	51.8555
18	59.9884	68.7687	68.0558	63.1009	49.9426
19	49.3162	52.4968	53.7141	47.5289	36.5197
20	53.6075	66.0078	62.2400	56.1085	43.5372
21	62.2121	72.0478	71.4240	65.3074	51.7681
22	64.9366	71.4772	70.9064	67.0339	54.0144
23	40.4806	58.6764	55.7943	50.4883	39.1927
24	64.8640	72.2362	72.4495	67.3567	55.1996
25	61.2810	70.5693	70.1375	65.1939	51.4136
26	65.0987	72.4991	72.3074	67.0955	54.7914
27	63.8129	72.7812	71.9794	66.6882	53.3957
28	63.6536	71.8335	71.4399	65.9470	53.1195
29	59.4091	69.5995	69.0496	63.7047	50.9437
30	47.4767	61.8390	59.1108	52.4818	40.9054
31	50.9974	66.1415	65.5006	59.1784	47.7214
32	56.9826	66.8943	66.3940	59.6916	46.5702
33	65.8069	72.1703	72.5217	67.6061	54.7272
34	65.6079	72.7704	72.8337	67.9564	54.8204
35	65.6236	70.7613	71.7651	67.1533	54.2137
36	65.1564	72.9818	73.1130	67.7849	54.9581
37	61.4543	71.1490	70.3527	64.9057	51.6817
38	57.2892	71.5707	71.5262	66.3521	53.3030
39	59.9753	71.1864	70.4824	64.8242	50.6950
40	53.5339	62.9828	62.2230	56.3906	44.8259
41	66.6838	73.2014	73.1442	68.0822	55.6820
42	63.4348	71.6650	71.2884	66.4672	53.4996
43	62.9001	69.0000	69.1756	64.1684	51.0604
44	64.9797	72.9136	72.4652	67.1472	53.8523
45	65.7548	70.2718	71.5086	66.2830	53.2504
46	63.8507	72.5073	72.9092	67.6615	55.0672
47	51.1305	58.8006	59.6226	53.8474	41.9032
48	63.4009	69.8778	69.9086	64.4939	53.1816
49	64.2481	71.2401	71.3474	66.3569	53.8634
50	57.1768	65.6763	65.7192	60.6032	47.6551
