epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	23.4029	0.0000	0.0000	0.0000	0.0000
2	27.9144	7.3895	12.7660	4.2553	0.0000
3	31.2623	24.3963	26.1364	17.0455	4.5455
4	43.0077	47.8061	47.1616	42.7948	27.0742
5	53.6114	66.0629	69.1667	66.6667	48.3333
6	57.5960	70.2758	73.5632	65.1341	48.2759
7	64.7859	73.0651	73.9623	67.9245	51.3208
8	63.2711	68.6862	75.5725	71.7557	48.0916
9	70.2195	75.2183	80.5755	76.9784	59.7122
10	72.3710	74.3388	82.0513	77.6557	62.2711
11	70.4830	76.3329	81.7204	76.7025	56.6308
12	70.5928	73.7698	80.2920	73.7226	54.7445
13	72.5576	77.3693	82.4373	79.5699	60.2151
14	74.7750	74.3206	83.3333	77.7778	62.5000
15	72.9528	80.5118	84.2491	79.8535	63.7363
16	73.6334	77.1185	82.8070	77.8947	61.7544
17	72.1734	73.2039	80.4348	74.6377	61.5942
18	73.5675	79.2280	85.7143	81.4286	65.0000
19	75.4995	79.5103	85.5019	79.5539	63.9405
20	75.0933	80.9957	85.5124	79.1519	65.7244
21	74.8079	80.5169	84.9817	80.5861	65.2015
22	75.9385	81.5108	88.9706	83.8235	68.3824
23	75.9715	80.6130	86.6426	82.3105	65.7040
24	75.5543	80.1982	85.8182	80.7273	64.7273
25	75.1592	79.6781	82.0144	79.8561	63.3094
26	75.6641	81.7958	86.4286	80.0000	65.0000
27	76.6520	84.4121	87.8229	85.6089	64.2066
28	76.3008	83.2050	87.8229	86.3469	67.1587
29	76.3337	83.4857	86.3469	81.9188	65.6827
30	76.3886	81.2765	88.2353	83.8235	68.3824
31	75.6312	79.7772	87.5912	84.6715	66.4234
32	76.0263	80.3802	86.7384	83.1541	65.2330
33	72.2283	76.4296	82.7119	77.9661	59.6610
34	73.6553	76.7313	84.7826	81.1594	63.0435
35	74.5115	82.3529	86.6426	85.1986	64.2599
36	75.2689	80.5252	86.1210	83.9858	66.1922
37	76.4764	81.5569	88.3392	84.8057	67.8445
38	75.0933	77.9524	85.8182	80.7273	64.0000
39	78.7047	85.5799	89.2193	85.5019	69.1450
40	77.2667	87.2168	89.3773	87.9121	69.5971
41	78.1229	84.0567	89.1304	85.5072	73.9130
42	78.4413	87.7139	90.0369	87.0849	73.0627
43	76.9813	83.3795	88.6447	85.7143	68.8645
44	78.1339	85.4817	90.1099	87.9121	69.5971
45	76.4654	83.2638	88.9706	84.5588	68.3824
46	76.1142	81.9648	88.0866	84.4765	69.3141
47	76.6959	84.5600	88.9706	86.0294	69.1176
48	77.3106	84.5119	88.2353	84.5588	71.3235
49	76.7508	83.8263	89.6296	85.1852	67.4074
50	76.7838	83.8817	88.4058	84.7826	68.8406
