epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	7.5823	10.2380	9.2593	9.2593	4.6296
2	16.6021	25.5950	19.4757	18.7266	10.4869
3	19.2592	30.5309	25.9649	22.4561	14.0351
4	26.2826	37.6369	33.8889	26.6667	22.2222
5	37.5913	45.6018	43.8503	40.6417	32.6203
6	42.4328	44.1528	46.5228	42.6859	34.5324
7	46.7543	48.1989	52.4752	48.0198	38.1188
8	61.1237	52.1872	59.2417	56.8720	44.0758
9	65.1028	52.9376	64.4068	61.9855	51.8160
10	73.3974	62.3698	72.2513	70.6806	62.3037
11	54.9713	54.3343	60.5459	56.5757	50.6203
12	67.2304	60.1445	66.1538	64.1026	54.3590
13	71.4208	62.4454	68.7805	67.3171	57.0732
14	72.7903	72.2041	74.4186	72.3514	64.5995
15	75.4914	66.4084	73.6041	73.0964	63.4518
16	74.6471	67.6804	73.0570	72.5389	64.7668
17	77.7871	69.3421	75.5668	75.0630	67.0025
18	72.2677	67.6847	72.5888	71.0660	62.4365
19	76.7134	71.0435	76.8448	73.7913	67.1756
20	79.1471	73.5617	80.6122	78.5714	68.8776
21	76.8013	73.4699	78.3042	76.8080	67.8304
22	64.6725	61.4394	68.5279	66.4975	59.8985
23	73.0663	68.8465	71.6792	68.6717	62.1554
24	79.3058	74.2183	80.1020	77.5510	70.9184
25	78.8047	72.5130	79.7927	78.2383	69.9482
26	78.6340	75.2700	80.5128	76.9231	70.7692
27	72.7205	70.2968	74.5308	71.8499	63.8070
28	79.6257	75.5138	81.4621	79.3734	72.5849
29	76.6220	74.2475	79.8969	77.8351	70.6186
30	76.5926	71.8811	76.5625	74.4792	67.1875
31	77.0566	71.8592	78.7724	76.7263	69.0537
32	82.2448	79.9676	85.3403	82.7225	76.9634
33	75.1335	69.4606	75.1880	73.6842	65.1629
34	81.9421	76.6270	82.6873	80.1034	74.9354
35	75.7544	72.8792	77.5194	74.9354	67.7003
36	82.3026	79.0610	84.0506	80.5063	75.4430
37	79.9664	74.2111	81.4621	79.3734	73.1070
38	83.5014	78.3587	85.1282	82.0513	75.8974
39	78.5382	75.1058	80.5128	76.9231	71.2821
40	75.1455	70.8799	76.0925	74.0360	68.8946
41	79.1247	74.4018	80.6202	78.0362	72.8682
42	80.4088	77.4425	84.0731	80.4178	75.1958
43	76.6427	69.6467	76.2148	74.1688	68.0307
44	81.2427	76.5983	83.4197	81.8653	75.6477
45	79.0953	75.1520	81.6537	80.6202	74.4186
46	80.5442	79.7156	82.1053	80.5263	74.7368
47	79.8827	76.5347	82.7957	81.1828	73.6559
48	79.0902	77.1735	82.0106	79.8942	72.4868
49	80.0845	76.6124	82.6316	80.0000	72.6316
50	80.5062	77.0670	83.1579	81.5789	73.1579
