epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	9.0639	9.9807	15.7676	10.7884	5.8091
2	16.7587	23.8596	17.9775	17.2285	11.2360
3	20.9793	33.1028	25.7627	23.0508	17.6271
4	37.2613	44.9665	44.5104	37.3887	24.9258
5	50.9985	48.7899	55.6213	51.4793	40.8284
6	43.0872	41.0931	47.5000	44.0000	34.5000
7	60.2728	48.7512	52.2936	50.4587	42.6606
8	58.6366	51.5766	56.5217	52.6570	45.8937
9	63.9480	56.6784	58.3756	57.8680	50.7614
10	71.4538	62.8229	70.6173	68.1481	58.2716
11	75.0921	66.9076	72.4566	69.4789	62.0347
12	65.3196	58.4924	66.1538	63.0769	55.8974
13	72.1873	60.7248	68.3047	64.3735	57.0025
14	66.9223	60.0901	63.4021	62.3711	53.0928
15	74.6137	67.3094	73.4375	69.2708	59.8958
16	77.2935	69.5624	77.3196	72.6804	65.9794
17	79.0963	68.7573	76.1421	74.6193	68.5279
18	74.4771	66.8218	73.0570	70.9845	62.1762
19	81.2074	74.9763	80.3109	79.2746	70.9845
20	77.5906	68.7688	76.8080	74.8130	67.8304
21	78.4444	73.2100	78.5000	76.5000	69.5000
22	79.7173	74.4525	79.7954	78.7724	72.6343
23	82.2999	75.7755	81.3299	79.2839	71.0997
24	82.9192	77.8141	81.8653	80.8290	75.1295
25	80.9094	77.2579	81.7708	79.6875	73.4375
26	82.5877	76.5318	83.0688	80.4233	76.1905
27	83.4088	77.7820	83.0688	82.5397	74.0741
28	84.0349	76.5091	82.1990	81.6754	75.9162
29	85.0776	77.4996	82.7763	82.2622	76.6067
30	80.5590	73.5783	81.5789	79.4737	71.0526
31	82.6006	78.8429	81.7708	81.7708	76.0417
32	77.9823	70.8527	78.1491	77.1208	68.3805
33	79.9406	73.2783	79.3814	78.8660	73.1959
34	78.8687	72.5149	79.6954	78.1726	73.6041
35	82.0337	78.4682	84.6361	82.4798	75.4717
36	82.9510	74.9783	80.2005	79.6992	75.6892
37	83.2782	76.3111	81.2339	79.1774	73.5219
38	82.8591	78.2164	82.3529	80.3069	75.1918
39	84.5210	80.7766	85.9296	83.9196	78.8945
40	83.7463	74.5884	80.3069	78.7724	74.6803
41	81.8696	79.3988	82.6316	82.1053	76.3158
42	83.9817	77.4011	84.0731	83.5509	77.2846
43	83.1417	74.2748	82.4147	80.8399	77.6903
44	84.3828	76.5203	83.7209	83.7209	78.0362
45	85.6256	77.2938	83.1633	81.6327	78.5714
46	82.3437	78.1633	82.2917	80.2083	76.5625
47	82.7972	76.2240	83.0688	82.5397	76.7196
48	77.5606	72.1237	78.3505	76.8041	70.1031
49	61.5208	51.0064	59.2593	57.4074	50.0000
50	73.4387	63.0918	72.9167	72.3958	65.1042
