epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	8.3968	11.3337	8.3682	8.3682	5.8577
2	14.4614	16.3214	17.2840	15.6379	9.8765
3	22.0112	28.1246	27.1468	24.3767	11.0803
4	26.6780	37.3744	36.4964	29.6837	19.4647
5	43.1192	40.9923	43.6275	39.7059	31.8627
6	49.8810	47.2048	50.9615	48.0769	40.8654
7	51.9272	48.9226	51.9231	49.5192	38.9423
8	49.6455	48.1021	51.5152	46.7532	38.9610
9	58.1752	53.1839	54.8673	51.3274	45.1327
10	61.3685	58.3940	61.5385	58.7413	52.6807
11	59.5006	54.5180	58.0189	55.1887	49.0566
12	66.6039	62.2404	68.3146	64.2697	55.2809
13	61.7369	54.4231	64.1084	58.6907	50.1129
14	68.4020	65.8364	69.9774	65.4628	55.0790
15	69.0950	63.2532	71.4286	68.2028	57.6037
16	74.3446	71.9213	73.3179	70.5336	62.6450
17	70.2455	65.4406	72.7700	69.9531	60.5634
18	62.7184	59.1210	63.8889	61.1111	53.7037
19	69.1841	65.8665	69.7674	68.3721	57.6744
20	68.4348	68.2606	71.6628	70.2576	62.2951
21	71.4641	67.9465	72.9792	71.5935	61.4319
22	71.1706	69.9622	74.7664	73.3645	65.8879
23	75.7374	73.2000	78.1775	76.2590	65.7074
24	76.4926	71.9568	78.6241	76.6585	68.7961
25	73.3674	70.1968	75.2381	73.3333	64.7619
26	75.4994	73.5651	78.4504	76.9976	67.7966
27	68.8637	70.3949	73.7819	72.3898	62.1810
28	77.8248	72.2745	79.1469	78.1991	69.1943
29	72.5306	65.0086	75.8782	72.1311	61.8267
30	71.9267	70.2397	75.7794	73.3813	65.7074
31	75.5750	73.0729	78.9598	76.5957	67.1395
32	75.8417	72.9855	79.0476	77.1429	67.1429
33	76.1226	70.2639	79.3349	75.5344	68.8836
34	75.9485	73.0493	77.8846	75.9615	68.2692
35	79.4362	77.3717	81.8402	80.3874	73.1235
36	74.0032	69.3509	75.1708	72.8929	65.6036
37	76.1007	73.2364	78.5388	76.2557	66.2100
38	72.4515	68.3413	76.2376	75.7426	66.3366
39	77.1679	75.4186	77.5610	75.6098	65.8537
40	76.9577	73.7794	78.8599	76.9596	66.9834
41	77.5170	74.6440	81.4815	80.0000	70.1235
42	77.9080	76.2945	80.4938	78.5185	70.6173
43	78.5161	75.3814	81.0427	80.0948	72.0379
44	77.4943	73.6049	80.5825	79.1262	70.8738
45	78.6675	74.7613	81.5534	79.6117	71.8447
46	81.2629	74.8816	81.5348	79.1367	74.3405
47	74.4262	70.5129	74.8268	72.5173	65.1270
48	78.0367	74.7971	80.8612	80.3828	69.3780
49	76.9753	73.9187	81.8824	80.4706	70.5882
50	75.8097	73.9525	78.7879	77.3893	68.0653
