epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	15.3351	15.1374	7.2470	5.5723	2.9384
2	21.5157	7.6336	5.7773	4.2044	2.5115
3	27.1784	12.3870	6.3017	4.8276	2.7300
4	38.1564	14.6090	6.7631	5.2225	3.1844
5	42.1388	16.4455	10.1805	8.0080	4.8894
6	42.9240	15.3697	10.5573	8.5239	5.3089
7	39.4217	15.1871	9.9479	7.6530	4.7295
8	46.9636	18.3079	12.1883	9.7899	6.2608
9	49.6326	21.5035	13.9273	11.3328	7.1382
10	50.2329	18.4413	11.5898	8.9531	5.7456
11	53.7562	21.7932	14.0479	11.4685	7.5906
12	49.9189	18.9019	13.3743	10.7643	7.2209
13	48.0034	17.7724	10.8169	8.6172	5.5349
14	55.5950	21.5070	13.8785	11.0848	7.3259
15	53.1113	21.6311	12.1796	10.0608	6.8522
16	53.5030	23.8059	14.9288	12.4365	8.0439
17	55.1240	23.1036	13.6488	11.2907	7.6713
18	57.0157	23.2768	13.9187	11.2073	7.8334
19	54.1979	25.3576	15.5390	13.0525	9.0383
20	57.4708	24.1392	17.1374	14.5982	10.3288
21	56.8988	20.8612	14.7569	12.0849	8.3776
22	59.9425	23.7859	15.7849	13.1248	9.2546
23	60.3381	26.0896	17.3084	14.3101	10.2954
24	59.4419	24.7251	16.6742	14.0973	9.9212
25	58.3021	25.6867	16.8893	13.8967	9.9666
26	60.7599	27.2579	17.7684	15.1269	10.6517
27	60.3212	23.7758	16.2175	13.4375	9.6509
28	60.5923	23.3608	16.0529	13.3850	9.3319
29	59.5493	23.3634	15.6820	13.1043	9.4876
30	59.5407	24.3747	16.3147	13.5822	9.7007
31	59.0491	23.6223	15.3885	12.7193	9.2723
32	62.5146	26.4515	17.1901	14.4460	10.4336
33	61.0631	24.2219	16.4116	13.9329	9.7800
34	58.0918	25.3255	15.4069	12.8265	9.0980
35	62.3400	26.0736	17.7546	15.1871	11.1650
36	58.3908	24.0313	15.3343	12.8112	9.0070
37	60.0606	22.5706	14.5340	12.1233	8.6203
38	61.3444	24.8020	17.2085	14.7338	10.8467
39	59.3710	26.6810	15.4114	12.8260	9.3357
40	62.0380	26.3846	16.9232	14.4087	10.5740
41	56.4705	23.1048	14.5287	12.0332	8.7254
42	60.9256	23.0450	15.9902	13.5528	9.7661
43	57.9178	25.7798	15.2932	12.8728	9.1513
44	61.6773	25.7803	15.8053	13.3132	9.5723
45	60.0216	25.9327	15.7933	13.4842	9.6125
46	56.0332	23.5831	13.6941	11.3116	8.0892
47	62.8307	25.9500	17.4820	14.8519	10.9409
48	61.1510	25.1709	16.4952	14.0956	10.2140
49	60.6106	25.5718	16.6431	13.9772	10.2342
50	55.7281	21.6295	14.4409	12.2794	8.6569
