epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	53.5024	38.8604	51.9298	42.1053	28.7719
2	54.0912	46.7758	57.6923	51.5385	32.3077
3	65.7760	69.6994	76.6917	69.1729	51.8797
4	63.3756	55.2398	67.5241	62.3794	41.8006
5	69.4293	62.8313	74.2049	72.0848	56.5371
6	63.5719	60.7435	69.1729	63.9098	47.3684
7	71.6335	72.6894	78.8321	76.6423	60.5839
8	69.2784	69.9960	80.0000	73.3333	55.5556
9	71.8599	81.9233	85.3846	81.5385	65.3846
10	71.7542	76.2806	79.8587	77.7385	57.2438
11	76.5550	80.4033	84.6442	80.8989	68.1648
12	73.5658	79.4859	84.0580	78.9855	65.9420
13	74.3508	83.5187	85.2830	83.7736	69.4340
14	76.4795	80.0948	85.9155	80.9859	69.7183
15	75.0302	73.7315	78.7456	78.7456	68.9895
16	75.1661	80.9793	84.2857	80.7143	68.5714
17	75.7850	78.3179	83.9416	78.8321	67.8832
18	72.9771	75.4193	81.6609	78.8927	64.3599
19	73.6413	80.8620	85.9206	78.7004	69.3141
20	75.0906	76.9081	82.3944	80.2817	67.6056
21	75.5435	82.6705	88.5609	84.1328	74.5387
22	74.0791	80.0000	85.3047	80.2867	67.3835
23	74.7132	78.8989	84.3636	80.7273	70.5455
24	74.2452	78.8789	83.0986	78.8732	69.7183
25	77.2947	86.8441	89.7810	84.6715	73.7226
26	73.7621	80.7660	85.1852	77.7778	67.4074
27	74.1244	85.3932	87.1795	79.8535	71.0623
28	76.9777	76.8748	83.2740	79.0036	68.3274
29	65.6099	64.6734	71.4286	68.1818	48.7013
30	66.9686	72.2485	76.9231	72.5275	57.8755
31	71.9807	68.2602	76.4505	73.0375	58.7031
32	62.8321	56.9412	62.4161	57.0470	44.9664
33	72.6147	67.0222	74.6575	71.9178	54.1096
34	74.0489	68.0474	77.6632	76.2887	61.1684
35	74.9396	75.8038	82.2300	81.5331	68.9895
36	76.1021	78.1902	84.5878	81.7204	71.6846
37	75.0755	78.0647	83.0986	80.2817	70.4225
38	76.1775	76.2339	82.7338	81.2950	71.2230
39	76.0568	80.9530	86.9258	84.0989	73.4982
40	75.5888	79.6969	85.1986	83.7545	72.2022
41	76.6606	80.0443	86.4469	85.7143	73.9927
42	75.5737	74.8636	82.3944	79.5775	68.3099
43	75.3623	76.9202	83.2168	79.0210	69.2308
44	75.9511	72.7640	82.6389	79.1667	68.7500
45	76.1322	82.4972	87.2727	84.3636	73.4545
46	75.9662	81.8041	86.5455	84.3636	74.1818
47	75.8152	76.6478	84.2105	80.7018	70.8772
48	76.3285	79.8386	86.5248	82.9787	72.3404
49	76.0719	78.4584	84.6975	81.1388	69.0391
50	75.6793	79.0492	83.5714	81.4286	68.5714
