epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	20.2804	14.7088	20.0837	15.8996	10.8787
2	22.7025	20.0577	23.6934	17.4216	9.0592
3	40.1521	26.8403	29.7561	26.3415	17.5610
4	43.0612	27.8831	29.8450	26.3566	17.8295
5	50.8675	36.1353	42.5056	38.0313	28.1879
6	58.0288	40.3896	49.3617	43.8298	31.9149
7	62.6561	45.6473	52.8384	50.2183	42.3581
8	53.4175	41.1408	45.5982	40.6321	32.5056
9	50.7018	41.9215	45.0526	41.2632	31.1579
10	49.8246	44.7915	47.2727	40.0000	30.9091
11	66.3995	48.7321	59.1006	55.2463	43.6831
12	63.4341	36.8428	42.8805	40.5892	34.3699
13	64.6897	47.3832	55.6213	50.8876	39.4477
14	72.8989	57.9655	64.0167	62.3431	50.2092
15	71.5524	56.2479	59.1376	56.2628	48.8706
16	73.6718	55.7339	63.6735	60.0000	50.6122
17	72.5533	50.8655	57.1963	54.9533	44.8598
18	72.9872	55.7413	58.8022	54.8094	45.3721
19	72.1462	55.2903	63.1148	57.7869	48.3607
20	61.1524	53.9969	57.4949	52.9774	42.7105
21	71.2917	55.4025	62.1677	56.8507	48.6708
22	71.0571	60.9669	66.3934	62.2951	50.4098
23	66.6787	51.9344	59.3814	55.6701	44.5361
24	62.4055	47.7673	53.3333	48.5185	39.2593
25	69.4633	50.2378	55.7319	52.9101	43.3862
26	73.4742	65.0084	70.6383	66.3830	57.4468
27	66.4979	48.2254	56.1717	53.3095	42.2182
28	61.0842	53.9231	56.0158	52.0710	41.8146
29	67.4180	55.2584	57.0896	53.7313	45.8955
30	70.8292	64.4686	69.2473	65.3763	55.9140
31	73.8333	67.1139	72.3312	69.2810	57.0806
32	72.9797	64.4240	68.6992	63.8211	53.2520
33	73.9620	63.6455	67.0683	64.2570	55.0201
34	73.4170	58.5023	63.4241	59.1440	51.3619
35	73.2505	62.7446	66.6667	62.9857	53.9877
36	73.1722	67.4482	71.0526	67.9825	57.8947
37	74.3539	61.3588	66.8008	63.1791	52.7163
38	74.7904	67.8392	73.0022	68.2505	57.4514
39	73.3455	64.8675	69.8276	65.5172	55.6034
40	76.2790	61.5445	67.5944	64.8111	53.2803
41	72.3119	58.3139	65.3386	60.5578	49.8008
42	74.6104	61.5835	68.5950	65.7025	54.5455
43	74.7256	68.3572	72.4512	69.4143	59.8698
44	76.4665	64.3091	70.4225	67.6056	57.5453
45	74.8980	63.7015	69.6017	65.4088	57.8616
46	76.5321	66.2847	72.0339	69.0678	60.5932
47	75.0805	65.4608	70.9278	67.6289	57.3196
48	75.1503	59.1667	66.6667	62.3529	54.5098
49	74.7576	64.7612	70.8155	66.9528	56.6524
50	75.2605	67.3327	73.4177	69.1983	58.6498
