epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	19.9340	15.6845	22.5225	16.2162	10.8108
2	21.7729	15.6845	21.4286	16.9643	13.3929
3	34.3049	27.7014	29.2011	23.6915	15.9780
4	47.6684	34.3603	38.3838	32.8283	22.2222
5	56.9411	41.8143	45.3826	39.5778	27.4406
6	61.7585	46.2567	52.7363	46.2687	38.3085
7	62.9509	43.3428	49.0153	44.6389	35.8862
8	66.8858	45.1173	53.4216	48.5651	36.6446
9	61.3737	49.5019	53.8860	49.7409	40.9326
10	75.3727	57.6916	65.1852	62.2222	54.3210
11	76.5478	56.1384	60.3037	58.1345	51.1931
12	76.9043	50.0653	56.2016	51.9380	44.1860
13	79.4032	62.2005	69.1415	67.2854	54.7564
14	73.6888	52.9681	61.6052	57.7007	46.4208
15	77.2936	66.8309	73.3850	70.2842	58.3979
16	80.1754	63.0121	69.2661	67.4312	59.6330
17	80.3623	65.3883	74.5098	73.0392	63.2353
18	81.3916	62.4873	68.0180	65.7658	58.1081
19	80.1845	63.1615	66.8132	63.7363	55.8242
20	82.8138	68.5599	75.5448	72.6392	63.9225
21	81.7845	68.6455	75.1244	73.1343	63.6816
22	82.2313	67.5550	73.0233	68.8372	60.9302
23	78.4833	61.6372	68.7783	66.9683	53.3937
24	84.5570	67.1677	71.4607	68.3146	62.4719
25	81.6569	67.7191	69.8413	67.1202	60.3175
26	81.9103	68.6957	75.0605	70.7022	64.4068
27	72.4224	56.9270	59.4828	56.8966	47.4138
28	68.4293	46.8694	56.9672	54.9180	44.2623
29	80.4735	61.3434	71.2963	69.4444	56.4815
30	82.3735	66.8240	73.3333	71.4286	61.9048
31	82.9861	71.0807	79.0932	75.5668	68.5139
32	83.4174	65.9770	71.0706	68.3371	61.9590
33	84.0118	66.0413	75.3623	73.9130	64.2512
34	82.6169	70.0484	76.6585	75.1843	65.3563
35	82.4510	66.2981	74.9415	71.6628	62.7635
36	82.2158	64.3596	69.9332	67.2606	58.7973
37	83.8860	69.7622	78.7129	75.7426	65.3465
38	83.6553	71.4589	78.0247	74.5679	62.7160
39	83.6827	66.9329	74.8235	71.5294	62.5882
40	83.0527	69.5189	77.1499	74.2015	64.3735
41	84.2698	71.7053	80.5063	79.4937	64.8101
42	83.0107	71.7376	79.1045	75.6219	64.6766
43	84.4166	69.1011	78.7589	74.9403	62.5298
44	83.3900	65.1123	75.7143	72.8571	64.7619
45	81.9176	63.3709	71.8750	67.8571	60.2679
46	83.6298	68.5608	74.3119	69.7248	60.0917
47	83.9443	70.3699	76.6265	74.6988	66.5060
48	83.7219	68.9938	78.6070	76.1194	68.6567
49	81.6751	68.5114	74.1784	69.9531	61.9718
50	81.1974	68.3226	77.8302	72.1698	64.6226
