epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	17.0827	19.7243	21.5139	15.9363	9.5618
2	19.8858	14.6796	23.3766	17.3160	8.6580
3	31.4532	23.8227	25.1928	22.6221	11.8252
4	40.8957	36.4738	47.4227	42.6117	26.8041
5	46.5311	44.8366	52.2796	47.4164	30.3951
6	53.2743	41.9331	48.2270	43.9716	29.7872
7	57.2753	44.0880	51.9751	44.9064	35.3430
8	64.5578	49.4558	56.4516	51.2097	41.9355
9	64.6942	46.5597	54.6906	51.8962	42.3154
10	68.9781	54.4081	60.2564	56.4103	46.1538
11	66.8319	49.1054	56.4854	53.9749	44.7699
12	71.9262	56.3162	63.6559	61.0753	51.6129
13	74.0604	63.3192	69.2308	65.6109	54.2986
14	68.1627	60.9115	61.8644	58.0508	46.6102
15	72.5924	60.6169	65.0549	61.9780	50.1099
16	75.1974	62.3652	71.5294	70.5882	57.4118
17	73.5691	60.2601	67.9825	62.2807	53.5088
18	73.2458	66.3232	74.8837	70.2326	57.6744
19	55.6915	48.4100	48.8806	44.7761	33.2090
20	75.1408	60.0919	63.0522	59.8394	52.2088
21	76.2864	66.5321	71.7593	69.4444	58.3333
22	75.8020	62.5339	70.4846	66.9604	54.6256
23	77.1268	69.9422	73.5632	69.4253	61.6092
24	77.1936	63.1174	72.7689	70.9382	58.5812
25	77.6258	68.1443	74.3649	71.1316	59.5843
26	77.3994	64.9548	73.2584	71.0112	59.7753
27	77.9688	70.1042	76.0563	72.3005	61.9718
28	78.8794	72.1823	78.8462	75.4808	66.8269
29	77.1242	66.0592	71.7149	68.5969	58.7973
30	77.6824	73.2635	79.5181	75.1807	63.6145
31	77.3720	68.2990	76.8150	72.5995	59.9532
32	78.1832	69.1307	75.6381	72.3898	64.5012
33	77.8282	68.6946	75.2381	71.4286	60.9524
34	78.5193	71.6812	76.1229	73.7589	66.1939
35	77.5872	63.9531	70.6897	66.8103	59.9138
36	78.0014	70.0092	75.8140	73.9535	64.1860
37	77.9422	67.2069	71.2695	68.5969	57.9065
38	79.4660	72.5970	77.9097	74.5843	66.0333
39	71.8627	60.7611	66.1017	60.1695	47.8814
40	75.5722	60.0663	67.9325	64.9789	51.8987
41	72.1851	52.8571	59.4286	56.7619	48.7619
42	69.4806	60.1589	63.3540	59.6273	50.1035
43	75.8088	62.0263	63.9511	60.6925	54.5825
44	78.4816	66.3044	72.5225	70.2703	60.8108
45	77.7827	62.9761	67.3469	64.8980	54.2857
46	80.2754	66.8516	75.8929	72.7679	62.9464
47	81.4965	66.8667	75.3880	73.1707	62.5277
48	80.5164	67.1590	75.0552	73.7307	60.9272
49	79.9316	66.8205	74.2358	72.4891	59.8253
50	81.4742	68.9483	74.7788	73.0088	62.8319
